activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Chandeliers Trading,100645.0,46,464,4649,Wholesale of other household goods,,IFZA,
Charcoal & Firewood Trading,100646.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,IFZA,
Charters for Passengers & Cargo,100648.0,51,511,5110,Passenger air transport,,IFZA,
Child Skills Development Training,100668.0,85,854,8549,Other education n.e.c.,,IFZA,
Children Games & Baby Care Requisites Rental,100673.0,77,772,7721,Renting and leasing of recreational and sports goods,,IFZA,
City Cleaning Equipment Trading,100692.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
Civil Aviation Information Services,100694.0,52,522,5223,Service activities incidental to air transportation,,IFZA,
Claims Settlement Services,100700.0,66,662,6621,Risk and damage evaluation,,IFZA,
Classic Cars Trading,100701.0,45,451,4510,Sale of motor vehicles,,IFZA,
Cleanroom Systems Trading,100711.0,47,477,4773,Other retail sale of new goods in specialized stores,,IFZA,
Cloth Hangers Trading,100716.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,IFZA,
Cloud Service & Datacenters Providers,100724.0,63,631,6311,"Data processing, hosting and related activities",,IFZA,
Co-Operative Society,100726.0,94,949,9499,Activities of other membership organizations n.e.c.,,IFZA,
Coffee Trading,100735.0,46,463,4630,"Wholesale of food, beverages and tobacco",,IFZA,
Collateral Management Services,100741.0,66,661,6619,Other activities auxiliary to financial service activities,,IFZA,
Commercial Brokers,100766.0,46,461,4610,Wholesale on a fee or contract basis,,IFZA,
Commercial Information Services,100770.0,70,702,7020,Management consultancy activities,,IFZA,
Commercial Photographs Production,100771.0,74,742,7420,Photographic activities,,IFZA,
Companies Representation,100780.0,70,701,7010,Activities of head offices,,IFZA,
Compliance Certification For Building Construction Products,100784.0,71,712,7120,Technical testing and analysis,,IFZA,
Compressed Natural Gas Trading,100789.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,IFZA,
Computer & Data Processing Requisites Trading,100790.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,IFZA,
Computer Electric Accessories Trading,100794.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,IFZA,
Computer Network & Infrastructure Installation & Maintenance,100799.0,43,432,4321,Electrical installation,,IFZA,
Computer Repair & Maintenance,100802.0,95,951,9511,Repair of computers and peripheral equipment,,IFZA,
Computer Systems & Communication Equipment Software Design,100808.0,62,620,6201,Computer programming activities,,IFZA,
Computer Systems & Communication Equipment Software Trading,100809.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,IFZA,
Computer Systems Consultancies,100811.0,62,620,6202,Computer consultancy and computer facilities management activities,,IFZA,
Computer Systems Housing Services,100812.0,63,631,6311,"Data processing, hosting and related activities",,IFZA,
Computer Training,100813.0,85,854,8549,Other education n.e.c.,,IFZA,
Computers & Peripheral Equipment Trading,100815.0,46,465,4651,"Wholesale of computers, computer peripheral equipment and software",,IFZA,
Concierge Services,100818.0,81,811,8110,Combined facilities support activities,,IFZA,
Confectionery & Chocolate Trading,100825.0,46,463,4630,"Wholesale of food, beverages and tobacco",,IFZA,
Conferences & Seminars Organizing,100827.0,82,823,8230,Organization of conventions and trade shows,,IFZA,
Construction Chemicals Trading,100835.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,IFZA,
Construction Equipment & Machinery Rental,100838.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,IFZA,
Construction Equipment & Machinery Spare Parts Trading,100839.0,47,477,4773,Other retail sale of new goods in specialized stores,,IFZA,
Construction Equipment & Machinery Trading,100840.0,47,477,4773,Other retail sale of new goods in specialized stores,,IFZA,
Converting Industries Equipements & Machinery Rental,100884.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,IFZA,
Cookers & Cook Stove Repair,100886.0,95,952,9522,Repair of household appliances and home and garden equipment,,IFZA,
Cookers & Cook Stoves Trading,100888.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,IFZA,
Cooking & Household Training Services,100889.0,85,854,8549,Other education n.e.c.,,IFZA,
Cooking Consultant,100890.0,70,702,7020,Management consultancy activities,,IFZA,
Corporate And Institutional Management Services,100899.0,70,701,7010,Activities of head offices,,IFZA,
Corporate Services Provider (CSP),100781.0,70,701,7010,Activities of head offices,,IFZA,
Corporate Social Responsibility Initiatives preparation,100903.0,82,829,8299,Other business support service activities n.e.c.,,IFZA,
Cost Control & Risk Management Services,100910.0,70,702,7020,Management consultancy activities,,IFZA,
"Costumes, Shoes & Personal Items Rental",100913.0,77,772,7729,Renting and leasing of other personal and household goods,,IFZA,
Cotton & Natural Fibers Trading,100914.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,IFZA,
Credit Card Issuing Services,100931.0,64,649,6499,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,IFZA,
Credit Review Services,100933.0,66,661,6619,Other activities auxiliary to financial service activities,,IFZA,
Crystal Products Trading,100948.0,46,464,4649,Wholesale of other household goods,,IFZA,
Culture & Arts Publishing,100951.0,58,581,5811,Book publishing,,IFZA,
Curtains & Upholstery Fabrics Trading,100955.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,IFZA,
Curtains Preparing & Fixing,100957.0,95,952,9524,Repair of furniture and home furnishings,,IFZA,
Custodian of Securities,100959.0,66,661,6611,Administration of financial markets,,IFZA,
Cutlery & Silverware Trading,100966.0,46,464,4649,Wholesale of other household goods,,IFZA,
Cyber Risk Management Services,100975.0,62,620,6202,Computer consultancy and computer facilities management activities,,IFZA,
Cyber Security Architecture,100976.0,62,620,6201,Computer programming activities,,IFZA,
Cyber Security Consultancy,100977.0,62,620,6202,Computer consultancy and computer facilities management activities,,IFZA,
Dairy Products Trading,100980.0,46,463,4630,"Wholesale of food, beverages and tobacco",,IFZA,
