activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Antiques &amp; Rare Collections Repair,100227.0,95,952,9529,Repair of other personal and household goods,,SPC,
Antiques Museum,100228.0,91,910,9102,Museums activities and operation of historical sites and buildings,,SPC,
"Application in buildings or other construction projects of interior and exterior plaster or stucco, including related lathing materials",100231.0,43,433,4330,Building completion and finishing,,SPC,
Application service provisioning,100232.0,63,631,6311,"Data processing, hosting and related activities",,SPC,
"Appraisal activities other than for real estate and insurance (for antiques, jewellery, etc.)",100234.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SPC,
Aquariums & Display Cases Trading,100235.0,47,477,4773,Other retail sale of new goods in specialized stores,,SPC,
Arab Wear Trading,100239.0,47,477,4771,"Retail sale of clothing, footwear and leather articles in specialized stores",,SPC,
Architectural and engineering activities and related technical consultancy,100248.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
Architectural consulting activities: • Building design and drafting • Town and city planning and landscape architecture,100249.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
"Arranging and assembling tours that are sold through travel agencies or directly by tour operators. the tours may include any or all of the following: • Transportation • Accommodation • Food • Visits to museums, historical or cultural sites, theatrical, musical or sporting events.",100256.0,79,791,7912,Tour operator activities,,SPC,
Art consulting,100258.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
Art Gallery,100259.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
Art instruction,100261.0,85,854,8542,Cultural education,,SPC,
Art production,100262.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
Artificial Intelligence Developing Services,100266.0,72,722,7220,Research and experimental development on social sciences and humanities,,SPC,
Artificial Intelligence Training,100267.0,85,854,8549,Other education n.e.c.,,SPC,
Artistic Production Contracting Services,100272.0,59,591,5913,"Motion picture, video and television programme distribution activities",,SPC,
Artistic Talent Contracting,100273.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
Artistic work including preparation of litho stones and prepared woodblocks,100274.0,18,181,1812,Service activities related to printing,,SPC,
Assembly of self-standing furniture,100280.0,95,952,9524,Repair of furniture and home furnishings,,SPC,
Associations for the purpose of social acquaintanceship,100285.0,94,949,9499,"Activities of organizations not directly affiliated to a political party furthering a public cause or issue by means of public education, political influence, fund-raising etc.:  • Environmental and ecological movements  • Organizations supporting community and educational facilities n.e.c.  • Organizations for the protection and betterment of special groups, e.g. minority groups  • Associations for patriotic purposes, including war veterans’ associations",,SPC,
"Associations for the pursuit of a cultural or recreational activity or hobby (other than sports or games), e.g. poetry, literature and book clubs, historical clubs, gardening clubs, film and photo clubs, music and art clubs, craft and collectors’ clubs, social clubs, carnival clubs etc.",100286.0,94,949,9499,"Activities of organizations not directly affiliated to a political party furthering a public cause or issue by means of public education, political influence, fund-raising etc.:  • Environmental and ecological movements  • Organizations supporting community and educational facilities n.e.c.  • Organizations for the protection and betterment of special groups, e.g. minority groups  • Associations for patriotic purposes, including war veterans’ associations",,SPC,
"Associations of youth, young persons’ associations, student associations and fraternities etc.",100287.0,94,949,9499,"Activities of organizations not directly affiliated to a political party furthering a public cause or issue by means of public education, political influence, fund-raising etc.:  • Environmental and ecological movements  • Organizations supporting community and educational facilities n.e.c.  • Organizations for the protection and betterment of special groups, e.g. minority groups  • Associations for patriotic purposes, including war veterans’ associations",,SPC,
"Astronomy, Earthquakes &amp; Meteorology Monitoring Equipment Trading",100290.0,46,464,4649,Wholesale of other household goods,,SPC,
Audio Recordings Wholesale,100299.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SPC,
"Audio-Visual, Recording Equipment &amp; Accessories Trading",100302.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SPC,
Auditing Of Accounts,100305.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SPC,
"Auditing, Reviewing &amp;Testing Cyber Risks",100306.0,62,620,6202,Computer consultancy and computer facilities management activities,,SPC,
"Authentic Antiques, Artefacts &amp; Artworks Trading",100308.0,46,464,4649,Wholesale of other household goods,,SPC,
"Authentic Antiques, Artefacts and Artworks Trading",100308.0,46,464,4649,Wholesale of other household goods,,SPC,
Auto Service Broker,100323.0,52,522,5229,Other transportation support activities,,SPC,
Auto Spare Parts &amp; components Trading,100324.0,45,453,4530,Sale of motor vehicle parts and accessories,,SPC,
Auto Washing Equipment Trading,100328.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Automatic Gates & Barriers & Components Trading,100328.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Automobile associations,100332.0,94,949,9499,"Activities of organizations not directly affiliated to a political party furthering a public cause or issue by means of public education, political influence, fund-raising etc.:  • Environmental and ecological movements  • Organizations supporting community and educational facilities n.e.c.  • Organizations for the protection and betterment of special groups, e.g. minority groups  • Associations for patriotic purposes, including war veterans’ associations",,SPC,
Automobile Engineering Services,100334.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
Aviation Business Brokerage,100337.0,52,522,5229,Other transportation support activities,,SPC,
Aviation consultancy,100340.0,52,522,5229,Other transportation support activities,,SPC,
Aviation Projects Engineering Management and Technical Feasibility Studies Services,100345.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SPC,
Aviation Training Services,100347.0,85,854,8549,Other education n.e.c.,,SPC,
Award Rendering Program,100348.0,72,722,7220,Research and experimental development on social sciences and humanities,,SPC,
Baby Care Requisites Trading,100351.0,46,464,4649,Wholesale of other household goods,,SPC,
Baby Food Trading,100353.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SPC,
Baby Wear Trading,100355.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,SPC,
Baggage Wrapping,100358.0,52,522,5229,Other transportation support activities,,SPC,
Bakeries & Flour Mills Equipment Trading,100362.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
"Bamboo, Cane & Wicker Products Trading",100369.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,SPC,
Banking &amp; Finance Training,100372.0,85,854,8549,Other education n.e.c.,,SPC,
Banking Consultant,100374.0,66,661,6619,Other activities auxiliary to financial service activities,,SPC,
Bar code imprinting services,100375.0,82,829,8299,Other business support service activities n.e.c.,,SPC,
Barcode Services,100377.0,82,829,8299,Other business support service activities n.e.c.,,SPC,
Basic Non Ferrous Metal Products Trading,100381.0,46,466,4662,Wholesale of metals and metal ores,,SPC,
Basic Steel Products Trading,100383.0,46,466,4662,Wholesale of metals and metal ores,,SPC,
Beauty & Personal Care Requisites Trading,100395.0,46,464,4649,Wholesale of other household goods,,SPC,
Beverage serving activities,100400.0,56,563,5630,Beverage serving activities,,SPC,
Bicycles &amp; Spare Parts Trading,100403.0,46,464,4649,Wholesale of other household goods,,SPC,
Bill auditing and freight rate information,100407.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SPC,
Billboards Advertising,100408.0,73,731,7310,Advertising,,SPC,
Billing Services Provider,100411.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SPC,
"Binding of printed sheets, e.g. into books,byfolding, assembling, stitching, glueing, collating, basting, adhesive binding, trimming, gold stamping",100412.0,18,181,1812,Service activities related to printing,,SPC,
Blank Cassette Trading,100419.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SPC,
"Blankets, Towels &amp; Linens Trading",100420.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,SPC,
Blast freezing,100422.0,52,521,5210,Warehousing and storage,,SPC,
Blast Furnaces & Smelters Trading,100423.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Blogging Services,100431.0,63,631,6312,Web portals,,SPC,
Blueprinting,100434.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,SPC,
"Bolts, Nuts, Screws & Nails Trading",100443.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SPC,
Book publishing,100444.0,58,581,5811,Book publishing,,SPC,
Book publishing,100444.0,58,581,5811,Book publishing,,SPC,
"Books &amp; Stationary Trading, Printing, Books Printing &amp; Binding",100447.0,46,464,4649,Wholesale of other household goods,,SPC,
Books and Stationery Trading,100447.0,46,464,4649,Wholesale of other household goods,,SPC,
Books Publishing,100444.0,58,581,5811,Book publishing,,SPC,
Books Publishing (Distribution),100444.0,58,581,5811,Book publishing,,SPC,
Books Publishing & Translation,100449.0,58,581,5819,Other publishing activities,,SPC,
Books Publishing and Events Organizing,100450.0,58,581,5811,Book publishing,,SPC,
"Books Publishing, Education, Education Training and Education Services",100451.0,85,855,8550,Educational support activities,,SPC,
"Books Publishing, Events Organizing",100450.0,58,581,5811,Book publishing,,SPC,
"Books Publishing, Events Organizing, Gift Items",100450.0,58,581,5811,Book publishing,,SPC,
"Books Publishing, Marketing Consultancy",100452.0,73,732,7320,Market research and public opinion polling,,SPC,
Books Trading and Book-Seller,100453.0,47,476,4761,"Retail sale of books, newspapers and stationary in specialized stores",,SPC,
"Books Trading and Book-Seller, Selling Stationery, Toys and Games",100447.0,47,476,4764,Retail sale of games and toys in specialized stores,,SPC,
"Books, Stationary and Toys Trading",100447.0,47,476,4764,Retail sale of games and toys in specialized stores,,SPC,
Botanical and zoological gardens and nature reserves activities,100457.0,91,910,9103,Botanical and zoological gardens and nature reserves activities,,SPC,
Bottle cleaning,100458.0,81,812,8129,Other building and industrial cleaning activities,,SPC,
Branding Services,100472.0,73,732,7320,Market research and public opinion polling,,SPC,
Bread &amp; Bakery Products Trading,100473.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SPC,
Bricks Making Equipment Trading,100476.0,46,465,4659,Wholesale of other machinery and equipment,,SPC,
Bricks Trading,100478.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SPC,
