activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Corporate services provider,100781.0,70,701,7010,Activities of head offices,,SHAMS,
Costume Design,100911.0,74,741,7410,Specialized design activities,,SHAMS,
Courier activities,100917.0,53,532,5320,Courier activities,,SHAMS,
"Creation and realization of advertising campaigns:
 • Creating and placing advertising in newspapers, periodicals, radio, television, the internet and other media
 • Creating and placing of outdoor advertising, e.g. billboards, panels, bulletins and frames, window dressing, showroom design, car and bus carding etc.
 • Media representation, i.e. sale of time and space for various media soliciting advertising
 • Aerial advertising
 • Distribution or delivery of advertising material or samples
 • Provision of advertising space on billboards etc.
 • Creation of stands and other display structures and sites",100923.0,73,731,7310,Advertising,,SHAMS,
"Creation of a complete television channel programme, from purchased programme components (e.g. movies, documentaries etc.), self produced programme components (e.g. local news, live reports) or a combination thereof",100924.0,60,602,6020,Television programming and broadcasting activities,,SHAMS,
Creative Agency Activities,100926.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
"Creative, arts and entertainment activities",100928.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Cultural education,100949.0,85,854,8542,Cultural education,,SHAMS,
"Customizing of software, i.e. modifying and configuring an existing application so that it is functional within the clients’ information system environment",100962.0,62,620,6201,Computer programming activities,,SHAMS,
Cyber risk management services,100975.0,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
Cyber Security Architecture,100976.0,62,620,6202,Computer programming activities,,SHAMS,
Cyber security consultancy,100977.0,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
Dance instruction and dance studios,100982.0,85,854,8542,Cultural education,,SHAMS,
Data broadcasting integrated with radio broadcasting,100983.0,60,601,6010,Radio broadcasting,,SHAMS,
Data broadcasting integrated with television broadcasting,100984.0,60,602,6020,Television programming and broadcasting activities,,SHAMS,
Data Classification & Analysis Services,100985.0,63,631,6311,"Data processing, hosting and related activities",,SHAMS,
"Data processing activities:
 • Complete processing of data supplied by clients
 • Generation of specialized reports from data supplied by clients",100990.0,63,631,6311,"Data processing, hosting and related activities",,SHAMS,
"Data processing, hosting and related activities",100991.0,63,631,6311,"Data processing, hosting and related activities",,SHAMS,
"Data processing, hosting and related activities; web portals",100991.0,63,631,6310,"Data processing, hosting and related activities; web portals",,SHAMS,
"Delivery of visual, aural or textual programming received from cable networks, local television stations or radio networks to consumers via direct-to-home satellite systems (the units classified here do not generally originate programming material.)",101014.0,61,613,6130,Satellite telecommunications activities,,SHAMS,
Design & Artwork Services,101027.0,18,181,1812,Service activities related to printing,,SHAMS,
Design & Production Of Prototypes,101028.0,74,741,7410,Specialized design activities,,SHAMS,
Design and production of social networking programs,101029.0,62,620,6202,Computer programming activities,,SHAMS,
"Design of accounting methods or procedures, cost accounting programmes, budgetary control procedures",101030.0,70,702,7020,Management consultancy activities,,SHAMS,
"Design of printing products e.g. sketches, layouts, dummies etc.",101031.0,18,181,1812,Service activities related to printing,,SHAMS,
"Design, Production and installation of billboards",101035.0,73,731,7310,Advertising,,SHAMS,
"Design, Scenery, Motion Graphics and Lighting",101036.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Designing the databases,101037.0,62,620,6202,Computer programming activities,,SHAMS,
"Designing the structure and content of, and/or writing the computer code necessary to create and implement:
 • Systems software (including updates and patches)
 • Software applications (including updates and patches)
 • Databases
 • Web pages",101038.0,62,620,6201,Computer programming activities,,SHAMS,
"Development of building projects for own operation, i.e. for renting of space in these buildings",101050.0,41,410,4100,Construction of buildings,,SHAMS,
Digital and Interactive Game Development,101063.0,62,620,6201,Computer programming activities,,SHAMS,
Digital content management,101065.0,70,702,7020,Management consultancy activities,,SHAMS,
Digital content services,101064.0,62,620,6202,Computer consultancy and computer facilities management activities,,SHAMS,
Digital marketing,101066.0,73,731,7310,Advertising,,SHAMS,
Digital media management,101068.0,73,731,7310,Advertising,,SHAMS,
"Digital Newspaper Publishing, News Agency, Specialty Communication and PR",101069.0,58,581,5813,"Publishing of newspapers, journals and periodicals",,SHAMS,
Direct marketing,101075.0,73,731,7310,Advertising,,SHAMS,
Direct sale via television and radio,101076.0,47,479,4791,Retail sale via mail order houses or via Internet,,SHAMS,
"Direct selling of fuel (heating oil, fire wood etc.), delivered directly to the customers premises",101077.0,47,479,4799,"Other retail sale not in stores, stalls or markets",,SHAMS,
Disinfecting and exterminating activities,101083.0,81,812,8129,Other building and industrial cleaning activities,,SHAMS,
Dismantling large-scale machinery and equipment,101088.0,33,332,3320,Installation of industrial machinery and equipment,,SHAMS,
"Dismantling of automobiles, computers, televisions and other equipment to obtain and re-sell usable parts",101090.0,38,383,3830,Materials recovery,,SHAMS,
"Distributing film, video tapes, DVDs and similar productions to motion picture theatres, television networks and stations and exhibitors",101101.0,59,591,5913,"Motion picture, video and television programme distribution activities",,SHAMS,
Distribution and delivery of mail and parcels,101103.0,53,532,5320,Courier activities,,SHAMS,
District and regional offices,101109.0,70,701,7010,Activities of head offices,,SHAMS,
Document editing or proofreading,101117.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,SHAMS,
Document preparation,101118.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,SHAMS,
Documentary Filming,101121.0,59,591,5913,"Motion picture, video and television programme production activities",,SHAMS,
Documentary Films Photography,101122.0,59,591,5911,"Motion picture, video and television programme production activities",,SHAMS,
Drama schools (except academic),101137.0,85,854,8542,Cultural education,,SHAMS,
Duct work installation,101157.0,43,432,4329,Other construction installation,,SHAMS,
Duplicating,101158.0,82,821,8219,"Photocopying, document preparation and other specialized office support activities",,SHAMS,
E Guide and Building E Complexes,101160.0,63,639,6391,"Data processing, hosting and related activities",,SHAMS,
E-books publishing,101162.0,58,581,5811,Book publishing,,SHAMS,
E-gaming services & solutions,101172.0,61,619,6190,Other telecommunications activities,,SHAMS,
E-Sports & Gaming activities,101174.0,61,619,6190,Other telecommunications activities,,SHAMS,
E-sports Data & Analytics Services,101175.0,63,631,6311,"Data processing, hosting and related activities",,SHAMS,
Economic advisory,101192.0,66,661,6619,Other activities auxiliary to financial service activities,,SHAMS,
Education consultancy,101197.0,85,855,8550,Educational support activities,,SHAMS,
Education that is not definable by level,101201.0,85,854,8549,Other education n.e.c.,,SHAMS,
Educational support activities,101200.0,85,855,8550,Educational support activities,,SHAMS,
