activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Document Verification Followup Services,101119.0,82,829,8299,Other business support service activities n.e.c.,,ANVC,
Documents Clearing Services,101126.0,82,829,8299,Other business support service activities n.e.c.,,ANVC,
Domestic Kitchen & Fixture Trading,101131.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,ANVC,
"Doors, Windows & Other Plastic Building Products Trading",101136.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Dried Vegetables & Fruit Trading,101141.0,46,463,4630,"Wholesale of food, beverages and tobacco",,ANVC,
Dry Batteries Trading,101150.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,ANVC,
Dry Ice Trading,101155.0,46,464,4649,Wholesale of other household goods,,ANVC,
E-Commerce,101163.0,47,479,4791,Retail sale via mail order houses or via Internet,,ANVC,
E-Commerce Through Social Media,101164.0,47,479,4791,Retail sale via mail order houses or via Internet,,ANVC,
E-sports Event Management,101176.0,73,731,7310,Advertising,,ANVC,
Education Support Services,101200.0,85,855,8550,Educational support activities,,ANVC,
Educational Aids Trading,101203.0,46,464,4649,Wholesale of other household goods,,ANVC,
Educational Technologies Research & Development,101208.0,72,722,7220,Research and experimental development on social sciences and humanities,,ANVC,
Egg Trading Import & Export,101212.0,46,463,4630,"Wholesale of food, beverages and tobacco",,ANVC,
Electric Vehicles Charging Stations & Systems & Spare Parts Trading,101224.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,ANVC,
Electrical & Electronic Appliances Spare Parts Trading,101229.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,ANVC,
Electrical Fittings Trading,101235.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Electronic Chips Programming,101255.0,62,620,6201,Computer programming activities,,ANVC,
Electronic Directory,101259.0,63,631,6311,"Data processing, hosting and related activities",,ANVC,
Electronic Precision Instruments Trading,101270.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,ANVC,
Encryption Equipment Trading,101290.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,ANVC,
Encryption Software Trading,101291.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,ANVC,
Energy Projects Engineering Consultancy,101299.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,ANVC,
Engineering Designing Instruments Trading,101308.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Engines & Machinery Spare Parts Trading,101310.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Environment Protection Equipment Trading,101322.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Environmental Consultants & Studies,101326.0,72,721,7210,Research and experimental development on natural sciences and engineering,,ANVC,
Equipment Trading Of E-Games And Entertainment Halls,101338.0,46,464,4649,Wholesale of other household goods,,ANVC,
Event Organizing,101346.0,90,900,9000,"Creative, arts and entertainment activities",,ANVC,
Events Organizing & Managing,101350.0,82,823,8230,Organization of conventions and trade shows,,ANVC,
Exhibition Organizing,101358.0,82,823,8230,Organization of conventions and trade shows,,ANVC,
Face Masks & Gloves Trading,101376.0,47,477,4771,"Retail sale of clothing, footwear and leather articles in specialized stores",,ANVC,
Facilities Resources Planning Consultancy,101381.0,70,702,7020,Management consultancy activities,,ANVC,
False Ceiling Trading,101384.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Fashion and Clothes Designing,101389.0,74,741,7410,Specialized design activities,,ANVC,
Fashion Design Consultancy,101390.0,74,741,7410,Specialized design activities,,ANVC,
Fashion Designing,101389.0,74,741,7410,Specialized design activities,,ANVC,
Fashion Shows Organizing,101392.0,82,823,8230,Organization of conventions and trade shows,,ANVC,
Feasibility Studies Consultancies,101394.0,70,702,7020,Management consultancy activities,,ANVC,
Fencing & Barbed Wire Trading,101397.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,ANVC,
Ferrous And Non Ferrous Metal Trading Import & Export,101398.0,46,466,4662,Wholesale of metals and metal ores,,ANVC,
Fiber Glass Products Trading,101404.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Fiber Optic Products & Requisites Trading,101406.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Filters & Purification Devices Trading,101420.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Fine Arts Consultancies,101430.0,70,702,7020,Management consultancy activities,,ANVC,
Fire Fighting Pipes Trading,101446.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,ANVC,
Fire Resistant & Retardant Materials Trading,101450.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,ANVC,
Fire Resistant Doors Trading,101452.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Fish & Meat Wastes Trading,101464.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,ANVC,
Fishing & Hunting Requisites Wholesale,101475.0,46,464,4649,Wholesale of other household goods,,ANVC,
