activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Bricks Making Equipment Trading,100476.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Bricks Trading,100478.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SRTIP,
Broadcasting Concultancy,100482.0,70,702,7020,Management consultancy activities,,SRTIP,
Building and Civil Engineering Training Services,100487.0,85,852,8522,Technical and vocational secondary education,,SRTIP,
Building and Construction Materials Trading,100488.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SRTIP,
Building Cleaning Equipment Trading,100489.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Building Hardware and Tools Trading,100496.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SRTIP,
Building Maquettes and Models Requisites Trading,100499.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SRTIP,
Building Mechanical Engineering Consultancy,100500.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Building Metal Products Trading,100502.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SRTIP,
Buildings Electrical Engineering Consultancy,100509.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Buildings Energy Efficiency Consultancy,100510.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
"Buses, Trucks Trading",100513.0,45,451,4510,Sale of motor vehicles,,SRTIP,
Business Center,100520.0,82,821,8211,Combined office administrative service activities,,SRTIP,
Business Coaching Services,100521.0,70,702,7020,Management consultancy activities,,SRTIP,
Business Events Management Services,100524.0,82,823,8230,Organization of conventions and trade shows,,SRTIP,
Business Incubator Center,100525.0,82,821,8211,Combined office administrative service activities,,SRTIP,
Business Plans Services,100527.0,70,702,7020,Management consultancy activities,,SRTIP,
Businessmen Services,100530.0,82,829,8299,Other business support service activities n.e.c.,,SRTIP,
Cafeteria,100542.0,56,561,5610,Restaurants and mobile food service activities,,SRTIP,
Calculators and Spare Parts Trading,100543.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,SRTIP,
Camping Requisites Trading,100550.0,47,476,4763,Retail sale of sporting equipment in specialized stores,,SRTIP,
Canned and Preserved Food Trading,100553.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
Caps and Lids Trading,100555.0,46,469,4690,Non-specialized wholesale trade,,SRTIP,
Car Engineering Consultancy,100557.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Carbon Control Systems Trading,100566.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Carpets Trading,100591.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Cars Accessories Trading,100592.0,45,453,4530,Sale of motor vehicle parts and accessories,,SRTIP,
Cars Batteries Trading,100594.0,45,453,4530,Sale of motor vehicle parts and accessories,,SRTIP,
Cars Tyres and Outfit Trading,100600.0,45,453,4530,Sale of motor vehicle parts and accessories,,SRTIP,
Catering Services,100620.0,56,562,5629,Other food service activities,,SRTIP,
Cement and Gypsum Trading,100624.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SRTIP,
Cement Products Trading,100626.0,46,466,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,SRTIP,
Central Ventilators and Air-Filters Trading,100633.0,47,477,4773,Other retail sale of new goods in specialized stores,,SRTIP,
Ceramic and Chinaware Trading,100635.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Cereals and Seeds Trading,100639.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,SRTIP,
Chandeliers Trading,100645.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Chemical Fertilizers Trading,100656.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SRTIP,
Chemical Industries Consultancy,100658.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Chemical Related Consultancy,100660.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Child Skills Development Training,100668.0,85,854,8549,Other education n.e.c.,,SRTIP,
Cigarettes and Tobacco and its Products Trading,100686.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
City Cleaning Equipment Trading,100692.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Civil and Architectural Engineering and Décor Consultancy,100693.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Civil Aviation Information Services,100694.0,52,522,5223,Service activities incidental to air transportation,,SRTIP,
Classic Cars Trading,100701.0,45,451,4510,Sale of motor vehicles,,SRTIP,
"Cleaning, Disinfection and Sterilization Services",100710.0,81,812,8129,Other building and industrial cleaning activities,,SRTIP,
Cleanroom Systems Trading,100711.0,47,477,4773,Other retail sale of new goods in specialized stores,,SRTIP,
Cloth Hangers Trading,100716.0,47,475,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,SRTIP,
"Clothing Accessories (Gloves, Neckties and Suspenders Pants)Trading",100721.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,SRTIP,
Co-Operative Society,100726.0,94,949,9499,Activities of other membership organizations n.e.c.,,SRTIP,
Coal and Firewood Trading,100728.0,46,466,4661,"Wholesale of solid, liquid and gaseous fuels and related products",,SRTIP,
Coffee Decaffeinating and Roasting,100733.0,10,107,1071,Manufacture of bakery products,,SRTIP,
Coffee Shop,100736.0,56,563,5630,Beverage serving activities,,SRTIP,
Coffee Trading,100735.0,46,463,4630,"Wholesale of food, beverages and tobacco",,SRTIP,
Commercial Agent,100762.0,46,461,4610,Wholesale on a fee or contract basis,,SRTIP,
Commercial Brokers Services,100766.0,46,461,4610,Wholesale on a fee or contract basis,,SRTIP,
"Commercial Enterprises Investment, Institution and Management",100768.0,66,663,6630,Fund management activities,,SRTIP,
Commercial Equipment and Professional Machines Renting,100769.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,SRTIP,
Commodities Designing Consultancy,100774.0,74,741,7410,Specialized design activities,,SRTIP,
Communication Engineering Consultancy,100777.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Communications Engineering Consultancy,100777.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Companies Services Provider,100781.0,70,701,7010,Activities of head offices,,SRTIP,
Computer and Data Processing Requisites Trading,100790.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,SRTIP,
Computer Concultancy,100792.0,62,620,6202,Computer consultancy and computer facilities management activities,,SRTIP,
Computer Electric Accessories Trading,100794.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,SRTIP,
